EAN;NCM;Descricao
7893500018469;1006.30.19;ARROZ PARBOILIZADO TIO JOÃO TIPO 1 1KG
7896006718543;1006.30.19;ARROZ PARBOILIZADO TIPO 1 1KG CAMIL
7893500023869;1006.30.11;ARROZ PARBOILIZADO TIO JOÃO TIPO 1 2KG
7896356800035;1006.30.21;ARROZ TIPO 1 PILECCO NOBRE PACOTE 1KG
7896356800028;1006.30.21;ARROZ POLIDO TIPO 1 PILECCO NOBRE PACOTE 2KG
7896006794905;0713.33.99;FEIJÃO CARIOCA 1KG CAMIL
7896022200282;1902.11.00;MACARRÃO DE SÊMOLA COM OVOS ESPAGUETE 8 RENATA PACOTE 500G
7896011108087;1902.11.00;MACARRAO PARATI ESPAGUETE 500G
7896022200213;1902.11.00;MACARRÃO DE SÊMOLA COM OVOS PENNE RENATA PACOTE
7891079000229;1902.30.00;MACARRÃO INSTANTÂNEO LÁMEN GALINHA CAIPIRA NISSIN MIOJO PACOTE 85G
7891079000205;1902.30.00;MACARRÃO INSTANTÂNEO LÁMEN CARNE NISSIN MIOJO PACOTE 85G
7891079000434;1902.30.00;MACARRÃO INSTANTÂNEO TALHARIM FRANGO NISSIN PACOTE 99G
7891079012772;1902.30.00;MACARRÃO INSTANTÂNEO TALHARIM QUEIJO PARMESÃO E CREME DE LEITE NISSIN PACOTE 99G
7891910001972;1701.99.00;AÇÚCAR REFINADO UNIÃO 1KG
7896005800010;0901.21.00;CAFÉ TORRADO E MOÍDO TRADICIONAL 3 CORAÇÕES PACOTE 500G
7896005800027;0901.21.00;CAFÉ TORRADO E MOÍDO TRADICIONAL 3 CORAÇÕES PACOTE 250G
7896005801970;0901.21.00;CAFÉ SOLÚVEL 3 CORAÇÕES
7622210592750;1905.31.00;BISCOITO RECHEIO CHOCOLATE TRAKINAS PACOTE 126G
7891000241356;1905.31.00;BISCOITO RECHEIO CHOCOLATE PASSATEMPO PACOTE 130G
7891000259405;1905.31.00;BISCOITO CHOCOLATE RECHEIO CHOCOLATE PASSATEMPO CHOCO MIX PACOTE 130G
7896004009889;1905.31.00;BISCOITO ROSQUINHA LEITE PARATI PACOTE 250G
7896004009858;1905.31.00;BISCOITO ROSQUINHA CHOCOLATE PARATI PACOTE 250G
7891000412855;1806.90.00;ACHOCOLATADO PÓ NESCAU LATA 350G
7891000338087;1806.90.00;ACHOCOLATADO PÓ NESCAU PACOTE 550G
7891000253427;1806.90.00;ACHOCOLATADO PÓ NESCAU PACOTE 1,2KG
7891000265505;1806.90.00;ACHOCOLATADO PÓ NESCAU PACOTE 1,02KG
7894321711263;1806.90.00;ACHOCOLATADO PÓ ORIGINAL TODDY POTE 400G
7891149200504;2203.00.00;CERVEJA PILSEN SKOL LATA 350ML
7898915949209;2203.00.00;CERVEJA PILSEN PURO MALTE IMPÉRIO LATA 350ML
7896045506934;2203.00.00;CERVEJA LAGER PREMIUM PURO MALTE AMSTEL LATA 350ML
7894900018448;2202.10.00;REFRIGERANTE COCA COLA PET 2L
7891991001342;2202.10.00;REFRIGERANTE GUARANÁ ANTARCTICA GARRAFA 2L
7898699630157;2202.10.00;REFRIGERANTE CONQUISTA 2L OURO GUARANA
7898942053016;2202.10.00;REFRIGERANTE REFRIKO GUARANA 2L
7896982140048;0407.21.00;OVO MANTIQUEIRA GRANDE BRANCO C/12
7893000394209;1517.10.00;MARGARINA CREMOSA COM SAL QUALY POTE 500G
7892000011420;1517.10.00;MARGARINA DELICIA CREMOSA C SAL 500G
7896002360326;1905.90.10;PÃO DE FORMA TRADICIONAL PULLMAN PACOTE 480G
7891515434311;1601.00.00;MORTADELA FATIADA DEFUMADA PERDIGÃO OURO 200G
7891515431587;1601.00.00;MORTADELA FATIADA DEFUMADA SADIA SOLTÍSSIMO 200G
7908615060606;3305.10.00;SHAMPOO LORÉAL PARIS ELSEVE GLYCOLIC GLOSS FRASCO 400ML
7908615055169;3305.90.00;CONDICIONADOR LORÉAL PARIS ELSEVE GLYCOLIC GLOSS FRASCO 400ML
7898623241046;3305.10.00;SHAMPOO WIDI CARE HIGIENIZANDO A JUBA FRASCO 500ML
7898623242920;3305.90.00;MASCARA CURVAS MAGICAS WIDI CARE 300G HIDRO-RECONSTRUTORA
7891150018877;3305.10.00;SHAMPOO TRESEMMÉ RECONSTRUÇÃO E FORÇA FRASCO 400ML
7891150018785;3305.90.00;CONDICIONADOR TRESEMMÉ RECONSTRUÇÃO E FORÇA FRASCO 400ML
7891150061378;3305.10.00;KIT SHAMPOO 400ML + CONDICIONADOR 200ML TRESEMMÉ RECONSTRUÇÃO E FORÇA
7898965666392;3305.10.00;SHAMPOO DABELLE 250ML MICELAR PRECIOSO
7898965666453;3305.90.00;CONDICIONADOR DABELLE 200ML MICELAR PRECIOSO
7898965666330;3305.10.00;KIT DABELLE SH250ML+COND200ML MICELAR PRECIOSO
7896111946053;3304.30.00;ESMALTE IMPALA NUDE CLASSICO 7,5ML
7896111945964;3304.30.00;ESMALTE IMPALA ROYAL 7,5ML
7891182820028;3304.30.00;ESMALTE NATURAL RENDA 8ML RISQUE
7891182810142;3304.30.00;ESMALTE CREMOSO REBU 8ML RISQUE
